accno,description,charttype,category,link,taxkey,datevautomatik
0050,"Ausstehende Einlagen auf das Komplementär-Kapital, nicht eingefordert (Vollhafter)",A,A,,0,f
0060,"Ausstehende Einlagen auf das Komplementär-Kapital, eingefordert (Vollhafter)",A,A,,0,f
0070,"Ausstehende Einlagen auf das Kommandit-Kapital, nicht eingefordert (Teilhafter)",A,A,,0,f
0080,"Ausstehende Einlagen auf das Kommandit-Kapital, eingefordert (Teilhafter)",A,A,,0,f
0090,"Rückständige fällige Einzahlungen auf Geschäftsanteile",A,A,,0,f
0100,"Entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten",A,A,,0,f
0110,Konzessionen,A,A,,0,f
0120,"Gewerbliche Schutzrechte",A,A,,0,f
0130,"Ähnliche Rechte und Werte",A,A,,0,f
0135,EDV-Software,A,A,AP_amount,9,f
0140,"Lizenzen an gewerblichen Schutzrechten und ähnlichen Rechten und Werten",A,A,,0,f
0143,"Selbst geschaffene immaterielle Vermögensgegenstände",A,A,,0,f
0144,EDV-Software,A,A,,0,f
0145,"Lizenzen und Franchiseverträge",A,A,,0,f
0146,"Konzessionen und gewerbliche Schutzrechte",A,A,,0,f
0147,"Rezepte, Verfahren, Prototypen",A,A,,0,f
0148,"Immaterielle Vermögensgegenstände in Entwicklung",A,A,,0,f
0150,"Geschäfts- oder Firmenwert",A,A,AP_amount,9,f
0170,"Geleistete Anzahlungen auf immaterielle Vermögensgegenstände",A,A,,0,f
0179,"Anzahlungen auf Geschäfts- oder Firmenwert",A,A,,0,f
0200,"Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken",A,A,,0,f
0210,"Grundstücksgleiche Rechte ohne Bauten",A,A,,0,f
0215,"Unbebaute Grundstücke",A,A,,0,f
0220,"Grundstücksgleiche Rechte (Erbbaurecht, Dauerwohnrecht, unbebaute Grundstücke)",A,A,,0,f
0225,"Grundstücke mit Substanzverzehr",A,A,,0,f
0229,"Grundstücksanteil des häuslichen Arbeitszimmers",A,A,,0,f
0230,"Bauten auf eigenen Grundstücken und grundstücksgleichen Rechten",A,A,,0,f
0235,"Grundstückswerte eigener bebauter Grundstücke",A,A,,0,f
0240,Geschäftsbauten,A,A,AP_amount,9,f
0250,Fabrikbauten,A,A,,0,f
0260,"Andere Bauten",A,A,,0,f
0270,Garagen,A,A,,0,f
0280,"Außenanlagen für Geschäfts-, Fabrik- und andere Bauten",A,A,,0,f
0285,"Hof- und Wegebefestigungen",A,A,,0,f
0290,"Einrichtungen für Geschäfts-, Fabrik- und andere Bauten",A,A,,0,f
0300,Wohnbauten,A,A,,0,f
0305,Garagen,A,A,,0,f
0310,Außenanlagen,A,A,,0,f
0315,"Hof- und Wegebefestigungen",A,A,,0,f
0320,"Einrichtungen für Wohnbauten",A,A,,0,f
0329,"Gebäudeteil des häuslichen Arbeitszimmers",A,A,,0,f
0330,"Bauten auf fremden Grundstücken",A,A,,0,f
0340,Geschäftsbauten,A,A,,0,f
0350,Fabrikbauten,A,A,,0,f
0360,Wohnbauten,A,A,,0,f
0370,"Andere Bauten",A,A,,0,f
0380,Garagen,A,A,,0,f
0390,Außenanlagen,A,A,,0,f
0395,"Hof- und Wegebefestigungen",A,A,,0,f
0398,"Einrichtungen für Geschäfts-, Fabrik-, Wohn- und andere Bauten",A,A,,0,f
0400,"Techn. Anlagen und Maschinen",A,A,AP_amount,9,f
0420,"Technische Anlagen",A,A,,0,f
0440,Maschinen,A,A,AP_amount,9,f
0450,"Transportanlagen und Ähnliches",A,A,,0,f
0460,"Maschinengebundene Werkzeuge",A,A,,0,f
0470,Betriebsvorrichtungen,A,A,,0,f
0500,"Andere Anlagen, Betriebs- und Geschäftsausstattung",A,A,AP_amount,9,f
0510,"Andere Anlagen",A,A,AP_amount,9,f
0520,PKW,A,A,AP_amount,9,f
0540,Lkw,A,A,,0,f
0560,"Sonstige Transportmittel",A,A,AP_amount,9,f
0620,Werkzeuge,A,A,AP_amount,9,f
0630,Betriebsausstattung,A,A,,0,f
0635,Geschäftsausstattung,A,A,,0,f
0640,Ladeneinrichtung,A,A,AP_amount,9,f
0650,Büroeinrichtung,A,A,AP_amount,9,f
0660,"Gerüst- und Schalungsmaterial",A,A,,0,f
0670,"Geringwertige Wirtschaftsgüter",A,A,AP_amount,9,f
