pruefgruppe_nr,pruefgruppe,unterpunkt_nr,unterpunkt,defect_code,defect_description,possible_classes,is_custom
0,Fahrzeugidentifizierung / Dokumente,0.1,Amtliche Kennzeichen / Zulassungsbescheinigung,0.1a,"Amtliches Kennzeichen fehlt, unleserlich oder nicht vorschriftsmäßig befestigt",GM|EM,false
0,Fahrzeugidentifizierung / Dokumente,0.1,Amtliche Kennzeichen / Zulassungsbescheinigung,0.1b,Zulassungsbescheinigung Teil I (Fahrzeugschein) nicht vorhanden oder nicht lesbar,GM|EM,false
0,Fahrzeugidentifizierung / Dokumente,0.1,Amtliche Kennzeichen / Zulassungsbescheinigung,0.1c,"Fahrzeug-Identifizierungsnummer (FIN) fehlt, unlesbar oder offensichtlich manipuliert",EM|VM,false
0,Fahrzeugidentifizierung / Dokumente,0.1,Amtliche Kennzeichen / Zulassungsbescheinigung,0.1d,Daten in Zulassungsbescheinigung stimmen nicht mit Fahrzeug überein,EM|VM,false
0,Fahrzeugidentifizierung / Dokumente,0.2,Fahrzeugidentifizierung / Fabrikschild,0.2a,Fabrikschild fehlt oder nicht lesbar,GM|EM,false
0,Fahrzeugidentifizierung / Dokumente,0.2,Fahrzeugidentifizierung / Fabrikschild,0.2b,FIN am Fahrzeug stimmt nicht mit Dokumenten überein,EM|VU,false
0,Fahrzeugidentifizierung / Dokumente,0.2,Fahrzeugidentifizierung / Fabrikschild,0.2c,Elektronische Fahrzeugidentifizierung: Daten nicht abrufbar oder manipuliert,EM|VM,false
1,Bremsanlage,1.1,Mechanischer Zustand und Funktion,1.1.1a,Bremspedal/Handbremshebel: übermäßiger Verschleiß oder Spiel,GM|EM,false
1,Bremsanlage,1.1,Mechanischer Zustand und Funktion,1.1.1b,Zustand des Pedals oder Pedallagerung beeinträchtigt sichere Betätigung,EM|VM,false
1,Bremsanlage,1.1,Mechanischer Zustand und Funktion,1.1.2a,Bremsleitungen/-schläuche: leichte Korrosion oder geringfügige Beschädigungen,GM,false
1,Bremsanlage,1.1,Mechanischer Zustand und Funktion,1.1.2b,"Bremsleitungen/-schläuche: starke Korrosion, Risse, Undichtigkeit",EM|VM,false
1,Bremsanlage,1.1,Mechanischer Zustand und Funktion,1.1.2c,Bremsleitungen/-schläuche: bruch- oder abreißgefährdet,VM|VU,false
1,Bremsanlage,1.1,Mechanischer Zustand und Funktion,1.1.3a,Bremsscheiben/-trommeln: Verschleiß über Grenzwert,EM,false
1,Bremsanlage,1.1,Mechanischer Zustand und Funktion,1.1.3b,"Bremsscheiben/-trommeln: gebrochen oder gerissen, Funktion beeinträchtigt",VM|VU,false
1,Bremsanlage,1.1,Mechanischer Zustand und Funktion,1.1.4a,Bremsbeläge: Verschleiß über Grenzwert / nahe Verschleißgrenze,GM|EM,false
1,Bremsanlage,1.1,Mechanischer Zustand und Funktion,1.1.4b,"Bremsbeläge: fehlen, gebrochen, verschmutzt (Öl/Fett)",EM|VM,false
1,Bremsanlage,1.1,Mechanischer Zustand und Funktion,1.1.5a,"Bremssättel/Radbremszylinder: beschädigt, übermäßig korrodiert",EM,false
1,Bremsanlage,1.1,Mechanischer Zustand und Funktion,1.1.5b,Bremssättel/Radbremszylinder: undicht,EM|VM,false
1,Bremsanlage,1.1,Mechanischer Zustand und Funktion,1.1.6a,"Bremsseile/-gestänge: beschädigt, korrodiert, schwergängig",GM|EM,false
1,Bremsanlage,1.1,Mechanischer Zustand und Funktion,1.1.6b,"Bremsseile/-gestänge: übermäßiger Verschleiß, Funktion erheblich beeinträchtigt",EM|VM,false
1,Bremsanlage,1.1,Mechanischer Zustand und Funktion,1.1.7a,Bremskraftregler/ALB: Befestigung lose,EM,false
1,Bremsanlage,1.1,Mechanischer Zustand und Funktion,1.1.7b,"Bremskraftregler/ALB: offensichtlich defekt, nicht wirkend",EM|VM,false
1,Bremsanlage,1.1,Mechanischer Zustand und Funktion,1.1.8a,Bremsflüssigkeitsbehälter: Flüssigkeitsstand unter Minimum,EM,false
1,Bremsanlage,1.1,Mechanischer Zustand und Funktion,1.1.8b,Bremsflüssigkeitsbehälter: Warnleuchte aktiv,EM,false
1,Bremsanlage,1.1,Mechanischer Zustand und Funktion,1.1.9a,Hauptbremszylinder: leichte Undichtigkeit,EM,false
1,Bremsanlage,1.1,Mechanischer Zustand und Funktion,1.1.9b,"Hauptbremszylinder: unsicher, funktionsbeeinträchtigend defekt",VM|VU,false
1,Bremsanlage,1.2,Wirkung und Leistung der Betriebsbremsanlage,1.2.1a,Unzureichende Bremswirkung an einem oder mehreren Rädern,EM,false
1,Bremsanlage,1.2,Wirkung und Leistung der Betriebsbremsanlage,1.2.1b,Abbremsung der Betriebsbremsanlage unterschreitet Mindestabbremsung,EM|VM,false
1,Bremsanlage,1.2,Wirkung und Leistung der Betriebsbremsanlage,1.2.1c,Betriebsbremsanlage ohne Wirkung an mindestens einem Rad,VM|VU,false
1,Bremsanlage,1.2,Wirkung und Leistung der Betriebsbremsanlage,1.2.2a,Ungleichmäßige Bremswirkung (Seitendifferenz über Grenzwert),EM,false
1,Bremsanlage,1.2,Wirkung und Leistung der Betriebsbremsanlage,1.2.2b,"Ungleichmäßige Bremswirkung, Fahrzeug bricht aus, nicht beherrschbar",VM|VU,false
1,Bremsanlage,1.3,Wirkung und Leistung der Feststellbremsanlage,1.3.1a,Feststellbremse erreicht nicht die vorgeschriebene Bremswirkung,EM,false
1,Bremsanlage,1.3,Wirkung und Leistung der Feststellbremsanlage,1.3.1b,Feststellbremse ohne Wirkung an einer Seite,EM|VM,false
1,Bremsanlage,1.3,Wirkung und Leistung der Feststellbremsanlage,1.3.1c,Feststellbremse: Rastung/Verriegelung funktioniert nicht,EM|VM,false
1,Bremsanlage,1.4,Bremskraftverstärker / Bremsassistent / Hilfskraftbremsanlage,1.4.1a,Bremskraftverstärker: Wirkung unzureichend oder ausgefallen,EM|VM,false
1,Bremsanlage,1.4,Bremskraftverstärker / Bremsassistent / Hilfskraftbremsanlage,1.4.1b,Unterdruck-/Druckluftvorrat unzureichend,EM|VM,false
1,Bremsanlage,1.5,Antiblockiersystem (ABS),1.5.1a,ABS-Warnleuchte defekt oder signalisiert Störung,EM,false
1,Bremsanlage,1.5,Antiblockiersystem (ABS),1.5.1b,ABS offensichtlich defekt,EM|VM,false
1,Bremsanlage,1.5,Antiblockiersystem (ABS),1.5.2a,ABS-Raddrehzahlsensoren: defekt oder nicht vorhanden,EM,false
1,Bremsanlage,1.6,Elektronisches Bremssystem (EBS) / ESP,1.6.1a,ESP/ESC-Warnleuchte signalisiert Störung,EM,false
1,Bremsanlage,1.6,Elektronisches Bremssystem (EBS) / ESP,1.6.1b,ESP/ESC offensichtlich defekt,EM|VM,false
2,Lenkanlage,2.1,Mechanischer Zustand,2.1.1a,Lenkgetriebe: übermäßiges Spiel,EM,false
2,Lenkanlage,2.1,Mechanischer Zustand,2.1.1b,Lenkgetriebe: unsichere Befestigung am Rahmen/Aufbau,EM|VM,false
2,Lenkanlage,2.1,Mechanischer Zustand,2.1.1c,"Lenkgetriebe: Befestigung mangelhaft, Lösen zu erwarten",VM|VU,false
2,Lenkanlage,2.1,Mechanischer Zustand,2.1.2a,Lenkgestänge: übermäßiges Spiel in Gelenken,EM,false
2,Lenkanlage,2.1,Mechanischer Zustand,2.1.2b,"Lenkgestänge: übermäßiges Spiel, sichere Lenkbarkeit beeinträchtigt",VM|VU,false
2,Lenkanlage,2.1,Mechanischer Zustand,2.1.2c,"Lenkgestänge: Bruch oder Verformung, Bruchgefahr",VM|VU,false
2,Lenkanlage,2.1,Mechanischer Zustand,2.1.3a,Spurstangengelenke: übermäßiges Spiel,EM,false
2,Lenkanlage,2.1,Mechanischer Zustand,2.1.3b,Spurstangengelenke: Staubkappen gerissen/fehlend,GM|EM,false
2,Lenkanlage,2.1,Mechanischer Zustand,2.1.3c,Spurstangengelenk: Bruch- oder Lösegefahr,VM|VU,false
2,Lenkanlage,2.1,Mechanischer Zustand,2.1.4a,"Lenksäule: übermäßiges Spiel, lose",EM|VM,false
2,Lenkanlage,2.1,Mechanischer Zustand,2.1.4b,Lenkrad: nicht genehmigte Ausführung,EM,false
2,Lenkanlage,2.1,Mechanischer Zustand,2.1.4c,Lenkrad: nicht genehmigte Ausführung ohne Airbag-Funktion bei vorgesehenem System,EM|VM,false
2,Lenkanlage,2.1,Mechanischer Zustand,2.1.5a,"Lenkungsdämpfer: defekt, undicht",GM|EM,false
2,Lenkanlage,2.1,Mechanischer Zustand,2.1.5b,Lenkungsdämpfer: lose Befestigung,EM,false
2,Lenkanlage,2.2,Lenkung: Funktion und Lenkungsspiel,2.2.1a,Lenkungsspiel übermäßig (am Lenkradumfang gemessen),EM,false
2,Lenkanlage,2.2,Lenkung: Funktion und Lenkungsspiel,2.2.1b,Lenkungsspiel: sichere Lenkbarkeit beeinträchtigt,VM|VU,false
2,Lenkanlage,2.2,Lenkung: Funktion und Lenkungsspiel,2.2.2a,Lenkung schwergängig oder hakend,EM,false
2,Lenkanlage,2.2,Lenkung: Funktion und Lenkungsspiel,2.2.2b,Lenkung: Funktion stark beeinträchtigt,VM|VU,false
2,Lenkanlage,2.3,Servolenkung / Lenkhilfe,2.3.1a,Servolenkung: Undichtigkeit,GM|EM,false
2,Lenkanlage,2.3,Servolenkung / Lenkhilfe,2.3.1b,"Servolenkung: erhebliche Undichtigkeit, Flüssigkeitsstand unzureichend",EM,false
2,Lenkanlage,2.3,Servolenkung / Lenkhilfe,2.3.1c,Servolenkung: ohne Funktion,EM|VM,false
2,Lenkanlage,2.3,Servolenkung / Lenkhilfe,2.3.2a,Servolenkung: Leitungen/Schläuche beschädigt,EM,false
2,Lenkanlage,2.3,Servolenkung / Lenkhilfe,2.3.2b,Elektrische Lenkhilfe: Warnleuchte zeigt Störung an,EM,false
3,Sichtverhältnisse,3.1,Sichtfeld,3.1.1a,"Sichtfeld des Fahrers durch Anbauteile, Aufkleber, Tönungsfolien eingeschränkt",GM|EM,false
3,Sichtverhältnisse,3.1,Sichtfeld,3.1.1b,Sichtfeld des Fahrers erheblich eingeschränkt,EM|VM,false
3,Sichtverhältnisse,3.2,Windschutzscheibe / Verglasung,3.2.1a,Windschutzscheibe: Steinschlag/Riss außerhalb Sichtfeld des Fahrers,GM,false
3,Sichtverhältnisse,3.2,Windschutzscheibe / Verglasung,3.2.1b,Windschutzscheibe: Beschädigung im Sichtfeld des Fahrers,EM,false
3,Sichtverhältnisse,3.2,Windschutzscheibe / Verglasung,3.2.1c,Windschutzscheibe: Beschädigung beeinträchtigt Sicht erheblich,VM,false
3,Sichtverhältnisse,3.2,Windschutzscheibe / Verglasung,3.2.2a,"Verglasung: nicht vorschriftsmäßig (falsche Tönungsstufe, nicht genehmigt)",EM,false
3,Sichtverhältnisse,3.2,Windschutzscheibe / Verglasung,3.2.2b,Seitenscheiben fehlen oder in nicht vorschriftsmäßigem Zustand,EM,false
3,Sichtverhältnisse,3.3,Rückspiegel / Rückblickeinrichtungen,3.3.1a,Spiegel: Spiegelfläche leicht beschädigt (Kratzer),GM,false
3,Sichtverhältnisse,3.3,Rückspiegel / Rückblickeinrichtungen,3.3.1b,"Spiegel: fehlt, gebrochen, lose oder Einstellung nicht haltbar",EM,false
3,Sichtverhältnisse,3.3,Rückspiegel / Rückblickeinrichtungen,3.3.1c,"Spiegel: fehlt, kein rückwärtiger Verkehr erkennbar",VM,false
3,Sichtverhältnisse,3.3,Rückspiegel / Rückblickeinrichtungen,3.3.2a,Kamera-Monitor-Systeme: leicht verschmutzt oder leicht beschädigt,GM,false
3,Sichtverhältnisse,3.3,Rückspiegel / Rückblickeinrichtungen,3.3.2b,Kamera-Monitor-Systeme: ohne Funktion oder defekt,EM,false
3,Sichtverhältnisse,3.4,Scheibenwischer / Scheibenwascher,3.4.1a,"Scheibenwischerblätter: leicht beschädigt, Wischbild geringfügig beeinträchtigt",GM,false
3,Sichtverhältnisse,3.4,Scheibenwischer / Scheibenwascher,3.4.1b,Scheibenwischer: ohne Funktion oder fehlend,EM,false
3,Sichtverhältnisse,3.4,Scheibenwischer / Scheibenwascher,3.4.1c,"Scheibenwischer: ohne Funktion, Sicht bei Nässe stark eingeschränkt",EM|VM,false
3,Sichtverhältnisse,3.4,Scheibenwischer / Scheibenwascher,3.4.2a,Scheibenwascher: ohne Funktion oder Flüssigkeitsbehälter leer,GM|EM,false
3,Sichtverhältnisse,3.5,Entfrostungs-/Trocknungseinrichtung (Gebläse),3.5.1a,Gebläse/Entfrostung: eingeschränkte Funktion,GM,false
3,Sichtverhältnisse,3.5,Entfrostungs-/Trocknungseinrichtung (Gebläse),3.5.1b,"Gebläse/Entfrostung: ohne Funktion, Windschutzscheibe nicht frei zu halten",EM,false
4,Lichttechnische Einrichtungen und elektrische Anlage,4.1,Scheinwerfer (Abblendlicht / Fernlicht),4.1.1a,Abblendlicht: Einstellung nicht korrekt (zu hoch/zu niedrig),GM|EM,false
4,Lichttechnische Einrichtungen und elektrische Anlage,4.1,Scheinwerfer (Abblendlicht / Fernlicht),4.1.1b,"Abblendlicht: Einstellung stark abweichend, Blendung anderer Verkehrsteilnehmer",EM|VM,false
4,Lichttechnische Einrichtungen und elektrische Anlage,4.1,Scheinwerfer (Abblendlicht / Fernlicht),4.1.2a,Abblendlicht: fällt aus (eine Seite),EM,false
4,Lichttechnische Einrichtungen und elektrische Anlage,4.1,Scheinwerfer (Abblendlicht / Fernlicht),4.1.2b,Abblendlicht: fällt aus (beide Seiten),VM|VU,false
4,Lichttechnische Einrichtungen und elektrische Anlage,4.1,Scheinwerfer (Abblendlicht / Fernlicht),4.1.3a,Fernlicht: fällt aus (eine Seite),GM|EM,false
4,Lichttechnische Einrichtungen und elektrische Anlage,4.1,Scheinwerfer (Abblendlicht / Fernlicht),4.1.3b,Fernlicht: ohne Funktion (beide Seiten),EM,false
4,Lichttechnische Einrichtungen und elektrische Anlage,4.1,Scheinwerfer (Abblendlicht / Fernlicht),4.1.4a,Scheinwerfer: Streuscheibe beschädigt (Farbänderung),GM|EM,false
4,Lichttechnische Einrichtungen und elektrische Anlage,4.1,Scheinwerfer (Abblendlicht / Fernlicht),4.1.4b,"Scheinwerfer: Streuscheibe gebrochen, Lichtbild erheblich verändert",EM|VM,false
4,Lichttechnische Einrichtungen und elektrische Anlage,4.1,Scheinwerfer (Abblendlicht / Fernlicht),4.1.5a,Scheinwerfer: lose oder unsicher befestigt,EM,false
4,Lichttechnische Einrichtungen und elektrische Anlage,4.1,Scheinwerfer (Abblendlicht / Fernlicht),4.1.5b,Scheinwerfer: Herabfallen zu erwarten,VM,false
4,Lichttechnische Einrichtungen und elektrische Anlage,4.1,Scheinwerfer (Abblendlicht / Fernlicht),4.1.6a,Leuchtweitenregulierung: ohne Funktion,EM,false
4,Lichttechnische Einrichtungen und elektrische Anlage,4.1,Scheinwerfer (Abblendlicht / Fernlicht),4.1.7a,Scheinwerferreinigungsanlage: ohne Funktion (soweit vorgeschrieben),GM|EM,false
4,Lichttechnische Einrichtungen und elektrische Anlage,4.1,Scheinwerfer (Abblendlicht / Fernlicht),4.1.8a,Kurvenlicht/Abbiegelicht: ohne Funktion,GM,false
4,Lichttechnische Einrichtungen und elektrische Anlage,4.1,Scheinwerfer (Abblendlicht / Fernlicht),4.1.9a,Nicht genehmigte Leuchtmittel eingebaut (z.B. Xenon in Halogen-Scheinwerfer),EM|VM,false
4,Lichttechnische Einrichtungen und elektrische Anlage,4.2,"Begrenzungs- und Schlussleuchten, Umrissleuchten, Tagfahrleuchten, Seitenmarkierungsleuchten",4.2.1a,Begrenzungsleuchte: fällt aus oder ohne Funktion,GM|EM,false
4,Lichttechnische Einrichtungen und elektrische Anlage,4.2,"Begrenzungs- und Schlussleuchten, Umrissleuchten, Tagfahrleuchten, Seitenmarkierungsleuchten",4.2.2a,Schlussleuchte: fällt aus (eine Seite),GM|EM,false
4,Lichttechnische Einrichtungen und elektrische Anlage,4.2,"Begrenzungs- und Schlussleuchten, Umrissleuchten, Tagfahrleuchten, Seitenmarkierungsleuchten",4.2.2b,Schlussleuchten: beide ohne Funktion,EM|VM,false
4,Lichttechnische Einrichtungen und elektrische Anlage,4.2,"Begrenzungs- und Schlussleuchten, Umrissleuchten, Tagfahrleuchten, Seitenmarkierungsleuchten",4.2.3a,Tagfahrleuchte: ohne Funktion,GM,false
